index,country,income_cat,n,c,axfin,gamma_SP,k,fa,v,shew,iso3,avg_prod_k
94,Hungary,nonpoor,0.8,26041.64552,0.2239262,1.059860832,124472.2825,0.114859933,0.435105,1.0,HUN,0.22127
95,Hungary,poor,0.2,9366.477406999997,0.0918939,0.760556672,15209.62423,0.14003374400000002,0.7,1.0,HUN,0.22127
96,India,nonpoor,0.8,5995.1539090000015,0.1227241,1.069617398,13363.55543,0.016723392,0.5223154489999999,0.8,IND,0.45253000000000004
97,India,poor,0.2,2239.169664,0.106086,0.72153041,4486.192805,0.020388652,0.7,0.8,IND,0.45253000000000004
98,Indonesia,nonpoor,0.8,10685.38721,0.2072208,1.074307632,34816.4133,0.048745806,0.19760155,0.8,IDN,0.30998000000000003
99,Indonesia,poor,0.2,3530.5620619999995,0.07181267,0.702769471,10010.38329,0.07066149599999999,0.3,0.8,IDN,0.30998000000000003
100,"Iran, Islamic Rep.",nonpoor,0.8,17649.696480000002,0.2492838,1.090738392,56104.29526,0.011485041,0.272983859,0.4,IRN,0.318
101,"Iran, Islamic Rep.",poor,0.2,4851.450181,0.1211886,0.637046431,12851.31057,0.014002213,0.7,0.4,IRN,0.318
102,Iraq,nonpoor,0.8,16497.479580000007,0.07414198,1.09581515,28357.54434,0.047509610999999986,0.6,0.6,IRQ,0.58409
103,Iraq,poor,0.2,6367.44826,0.0292944,0.616739402,10449.80763,0.057922276,0.7,0.6,IRQ,0.58409
104,Ireland,nonpoor,0.8,51556.39567,0.5241702,1.10199882,173407.9877,0.016865917,0.266304362,0.0,IRL,0.31125
105,Ireland,poor,0.2,17010.59688,0.4951397,0.592004719,23591.45666,0.020562414,0.3,0.0,IRL,0.31125
106,Israel,nonpoor,0.8,36876.40169,0.290902,1.096011255,104671.4536,0.000103507,0.55,0.0,ISR,ISR
107,Israel,poor,0.2,7128.638716,0.1858163,0.61595498,12677.12592,0.000126192,0.7,0.0,ISR,ISR
108,Italy,nonpoor,0.8,39830.49967,0.1787756,1.170938668,195038.2521,0.006069426,0.2395,1.0,ITA,0.20461
109,Italy,poor,0.2,10295.8004,0.1188806,0.316245329,48819.999,0.00739966,0.57,1.0,ITA,0.20461
110,Jamaica,nonpoor,0.8,10183.74674,0.3105106,1.13411492,26929.59695,0.003059116,0.391375829,0.8,JAM,0.38101
111,Jamaica,poor,0.2,2302.505866,0.2945098,0.463540319,5238.209025,0.003729582,0.7,0.8,JAM,0.38101
112,Japan,nonpoor,0.8,41236.91922,0.5513969,0.998137098,203181.4167,0.004207705,0.20493825,0.8,JPN,0.21044000000000002
113,Japan,poor,0.2,13123.87324,0.4561238,1.007451608,33450.94542,0.005129906,0.3,0.8,JPN,0.21044000000000002
114,Jordan,nonpoor,0.8,13082.66106,0.1260008,1.126530664,74797.907,0.000162067,0.55,0.6,JOR,0.17572000000000002
115,Jordan,poor,0.2,4693.050041,0.01290732,0.493877344,25317.88094,0.000674728,0.7,0.6,JOR,0.17572000000000002
116,Kazakhstan,nonpoor,0.8,25432.86794,0.07945224,1.016767909,79650.84636,0.039232805,0.125977592,0.8,KAZ,0.33057
117,Kazakhstan,poor,0.2,10616.92334,0.0495838,0.932928365,21258.48459,0.047831445,0.434214596,0.8,KAZ,0.33057
118,Kenya,nonpoor,0.8,3217.981968,0.3215924000000001,1.203254617,6944.737391,0.023499233,0.6,0.4,KEN,0.46296000000000004
119,Kenya,poor,0.2,654.6882188,0.1005334,0.186981532,1438.710946,0.045879456,0.7,0.4,KEN,0.46296000000000004
120,Kyrgyz Republic,nonpoor,0.8,3588.724004,0.01364074,1.106285926,7163.940714,0.156193252,0.15736634,0.8,KGZ,0.52023
121,Kyrgyz Republic,poor,0.2,1194.168126,0.001899116,0.574856295,1233.312483,0.190857551,0.66956664,0.8,KGZ,0.52023
122,Lao PDR,nonpoor,0.8,5389.610933,0.2385275,1.221847459,21611.11012,0.29183892300000003,0.3,0.6,LAO,0.2473
123,Lao PDR,poor,0.2,1778.256562,0.1325088,0.112610165,7921.938055,0.35580115700000003,0.4,0.6,LAO,0.2473
124,Latvia,nonpoor,0.8,25587.77291,0.1686562,1.062010632,110000.9995,0.229972773,0.125977592,0.0,LVA,0.23936999999999997
125,Latvia,poor,0.2,6811.762070999999,0.08001867,0.75195747,16038.51199,0.280375824,0.434214596,0.0,LVA,0.23936999999999997
126,Lesotho,nonpoor,0.8,3028.49388,0.1136827,1.223286723,15192.556169999998,0.023779137,0.641600854,0.4,LSO,0.19921
127,Lesotho,poor,0.2,354.0931502,0.02873374,0.106853108,1816.681158,0.020597014,0.7,0.4,LSO,0.19921
128,Liberia,nonpoor,0.8,993.8772659,0.2007491,1.219920928,2090.961637,0.047642553,0.6734349000000001,0.0,LBR,0.47251000000000004
129,Liberia,poor,0.2,273.6455576,0.0449625,0.120316289,628.8435431,0.02452032,0.7,0.0,LBR,0.47251000000000004
130,Lithuania,nonpoor,0.8,28436.76005,0.2553146,0.980828755,95503.46504,0.058469175,0.2625238,0.0,LTU,0.31296
131,Lithuania,poor,0.2,8601.072309000001,0.13165970000000002,1.0766849790000002,8919.111553,0.071283843,0.473492,0.0,LTU,0.31296
132,"Macedonia, FYR",nonpoor,0.8,13726.15469,0.1010828,1.100765589,53308.91961,0.013140051000000002,0.16786879999999998,0.6,MKD,0.26393
133,"Macedonia, FYR",poor,0.2,3140.226107,0.04312311,0.5969376439999999,6687.666264,0.016019951,0.4472128,0.6,MKD,0.26393
134,Madagascar,nonpoor,0.8,1599.589132,0.01990471,1.190678767,5427.649806,0.105010927,0.442447213,0.4,MDG,0.29407
135,Madagascar,poor,0.2,444.8055339,0.00467687,0.237284932,1559.68549,0.08481651800000001,0.7,0.4,MDG,0.29407
136,Malawi,nonpoor,0.8,892.671813,0.1041777,1.194996632,3525.74293,0.092625064,0.442447213,0.8,MWI,0.25308
137,Malawi,poor,0.2,204.2226243,0.05031624,0.220013471,813.1063968,0.104500072,0.7,0.8,MWI,0.25308
138,Malaysia,nonpoor,0.8,26954.76748,0.4278625,1.114859853,108028.8534,0.069767016,0.222974634,1.0,MYS,0.25059000000000003
139,Malaysia,poor,0.2,5127.787319,0.2476379,0.540560589,18600.97862,0.085057828,0.39486965,1.0,MYS,0.25059000000000003
140,Mali,nonpoor,0.8,1828.138388,0.05730599,1.201633674,2832.645984,0.253304919,0.1,0.6,MLI,0.64384
141,Mali,poor,0.2,633.2831882,0.02604872,0.193465304,1010.644768,0.140789067,0.6492646,0.6,MLI,0.64384
142,Mauritania,nonpoor,0.8,3459.908437,0.08601068,1.189756399,14513.37816,0.216277218,0.1,0.6,MRT,0.23811
143,Mauritania,poor,0.2,886.5141004000002,0.03011628,0.240974405,3793.520409,0.263678619,0.58644415,0.6,MRT,0.23811
144,Mexico,nonpoor,0.8,19373.84915,0.09345214,1.12910183,53584.5781,0.005208793,0.3221211,0.8,MEX,0.36826
145,Mexico,poor,0.2,3958.667516,0.02801249,0.4835926820000001,6846.151318000001,0.006350402,0.7,0.8,MEX,0.36826
146,Moldova,nonpoor,0.8,5171.555927,0.05443321,1.108114416,20482.76797,0.12744006800000002,0.415308316,0.6,MDA,0.2567
147,Moldova,poor,0.2,1919.200517,0.0071581230000000015,0.567542336,6128.935307,0.054133834000000006,0.7,0.6,MDA,0.2567
148,Mongolia,nonpoor,0.8,10604.89,0.3040792,1.103344674,51687.12173,0.119566612,0.125977592,0.6,MNG,0.20767
149,Mongolia,poor,0.2,3241.968525,0.1190915,0.586621304,13121.76742,0.145771984,0.434214596,0.6,MNG,0.20767
150,Montenegro,nonpoor,0.8,16230.0487,0.04095249,1.027371966,46280.83286,0.012878705,0.440982476,0.0,MNE,0.3649
151,Montenegro,poor,0.2,5837.510706,0.02271427,0.890512135,8788.295634999999,0.015701326,0.7,0.0,MNE,0.3649
