countrycode,wbreg,shareemp,shareag,sharemanu,poorag,poorindus,poorserv,pooremp,poorold,poorunemp,poorchildren,below125,pooradult,skillpag,skillpserv,skillpmanu,gdp,quintile2,quintilepc2,below4,below6,below8,below10,gini,tot_pop,gap,incbott20,inc2040,incbott40,avincome
EGY,MNA,0.5778643142054254,0.37519224357454933,0.18645646958772852,236840.84631347656,46480.983337402344,113440.75518798828,396762.5848388672,54056.680603027344,258201.1854248047,418935.9920654297,1127956.442932129,654963.7702636719,1.9780263643453604,1.3550267176898811,1.1479974361468954,22315114399.73334,3310161771.7408285,0.14833720824574317,15527252.479492188,31561465.685638428,45574849.289367676,54846778.293029785,0.4724128712638881,74229577.07424927,0.004658919640313641,78.65251732704427,144.1580086341761,111.40952517784648,300.62294949373495
ETH,SSA,0.8131464099283148,0.776720282091448,0.07269974603192755,9942138.844310284,621815.9765238762,974394.885679245,11538349.706513405,549946.3067207336,2189438.0343842506,17773233.325770378,32050967.373388767,13727787.740897655,5.74210212798191,5.67341750027898,2.6837414562740447,5062345891.184553,925846821.7092253,0.1828888901727309,72776134.98810005,76299061.71080828,78336909.04452896,79369781.50184727,0.42341747707365307,80432154.29418993,0.09306328024895699,23.40198571993765,34.14994683016957,28.776163392356526,62.93932986885365
FSM,EAP,0.21904515042040074,0.008801124177205768,0.13031580504400433,26.56324886549784,374.83695621313547,2610.085157043198,3011.4853621218313,1523.9434256539378,17297.59413159933,11111.308618034585,32944.331537409635,20309.07949372116,0.5681996660530526,2.2133831472144867,0.23538357221869957,654916883.5145327,1424351.9383773452,0.0021748590916357744,35381.2636648111,39258.514175141696,41663.96393351731,42220.80833566071,0.8151396116612951,105097.0022243262,0.30375069615064715,0.9353432059287997,33.85981930720396,33.85981930720396,6231.546758266553
GAB,SSA,0.5119401901194041,0.2478838073874913,0.1201319609507565,3942.1087408065796,357.7163257598877,1370.5082054138184,5670.333271980286,941.5763607025146,9274.788088798523,16921.985363960266,32808.68308544159,14945.121360778809,1.7476341741851662,1.7371315689153495,2.347607983836352,252324855.8504879,41365768.025607824,0.16393853822359314,698269.9278821945,1012878.8615694046,1169877.4557671547,1296995.9422664642,0.4119809709402389,1447388.0040979385,0.0048747898700545085,53.644378603840245,89.14654959726563,71.38653504775607,174.33117805045325
GEO,ECA,0.49199069064778334,0.47162657816261955,0.11627112812491307,179732.74305343628,15060.497928619385,44943.19277381897,239736.43375587463,138448.44227218628,317291.66621017456,172318.2768726349,867794.8191108704,557028.0999660492,1.0,1.0,1.0,400124732.6769996,66307173.10888847,0.16571625719126656,3519252.6038532257,3995610.8574295044,4264717.3232860565,4371055.158205032,0.38936512655260425,4426077.012289047,0.06335047082369419,25.633242781513147,49.25961043458037,37.44527338420015,90.40166530452346
GHA,SSA,0.7240289497803483,0.5680736828320747,0.1306036928717971,1772820.4696655273,116944.76470947266,214463.48876953125,2104228.7231445312,300715.1092529297,636785.612487793,2654762.715148926,5696492.16003418,2741014.335632324,1.8392614910500138,1.5440096923196789,1.5517584594821956,3205937205.7814612,287790061.2978235,0.08976784098541742,16809741.494750977,19958702.684020996,20490976.19781494,21098234.228515625,0.6252222827401677,22525659.69543457,0.09128270543665974,20.932727120503145,42.924946521320514,31.92741423567304,142.32378758839326
GIN,SSA,0.626391088623574,0.6809280861811521,0.05477964222454231,883865.4259815216,52217.43223571777,259457.31282234192,1195540.1710395813,171177.34772872925,712395.790769577,2028936.2342071533,4108049.543745041,1907935.9618091583,1.7140762441705333,1.968496564404321,1.6791722071521469,638283776.6600972,85917270.20522065,0.13460669587247534,8920367.01769638,9484784.115186691,9885802.104747772,9940749.583343506,0.44770641724185356,10046967.006828308,0.17220267872226822,14.081934426735211,28.650189042831478,21.368373537798792,63.529996289058666
GMB,SSA,0.5721076210743674,0.655304087431368,0.06834487836180905,152635.42728340472,4295.6109289585165,9780.636157125657,166711.6743694889,17247.009277926292,65534.80196683823,234329.71495749723,483823.2005717506,232246.47633632715,3.61572305425978,1.8412323075361874,1.1371853600885393,133477480.18295482,17199554.15455902,0.12885734830312895,1230570.4820861586,1378126.4395643657,1432543.9031975323,1478790.828280713,0.48694258832659454,1529406.0010223358,0.1090424306251029,19.679872758132667,36.50163442889578,28.082277859284744,87.27406594045755
GTM,LAC,0.6665391203999171,0.2921209934912219,0.2413685573932702,319372.20084667206,35497.99137878418,36946.90967750549,391817.10190296173,56335.55209159851,307773.67513370514,836741.7340021133,1592668.0631303787,699590.7770366669,2.8968049691163267,1.6363391785268129,2.097864590200182,2635773085.1124997,259367599.65190756,0.09840285611719785,6979582.05188489,9397173.876952887,10655818.534146547,11312242.202735186,0.560595658482786,13317931.001802683,0.04581855756710484,30.32265506218914,67.03568325598351,48.681981700859765,197.9116038937075
GUY,LAC,0.5118759170431195,0.3572452414642529,0.1991733053154758,7138.286072291381,777.9159567465301,536.0768181802229,8452.278847218135,616.6898695626012,4844.844603096358,16437.001927862835,30350.81524773993,13297.123450314491,1.5626059422604668,1.5343144548866954,2.2120815962705107,123973748.8128355,21354296.943072874,0.17224853767479184,377273.1271765847,562723.4597383777,656573.1779960787,699459.3229791762,0.394091823333233,769649.1095771772,0.009167734035861838,50.94094352915412,87.69078304331005,69.29878238388095,161.07827225440832
